Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)
631.5,-0.0269165
632.5,74.1141
633.5,145.349
634.5,193.006
635.5,222.936
636.5,233.743
637.5,227.333
638.5,204.035
639.5,164.085
640.5,104.868
641.5,28.2878
642.5,-0.0269165
643.5,-0.0269165
644.5,-0.0269165
645.5,-0.0269165
646.5,-0.0269165
647.5,-0.0269165
648.5,-0.0269165
649.5,-0.0269165
650.5,-0.0269165
651.5,-0.0269165
652.5,-0.0269165
653.5,-0.0269165
654.5,-0.0269165
655.5,-0.0269165
656.5,7.52668
657.5,14.4297
658.5,54.3591
659.5,139.854
660.5,125.711
661.5,92.1863
662.5,102.978
663.5,30.3481
664.5,19.0156
665.5,27.65
666.5,-0.0269165
667.5,-0.0269165
668.5,-0.0269165
669.5,-0.0269165
670.5,-0.0269165
671.5,-0.0269165
672.5,-0.0269165
673.5,-0.0269165
674.5,-0.0269165
675.5,-0.0269165
676.5,-0.0269165
677.5,-0.0269165
678.5,-0.0269165
679.5,-0.0269165
680.5,71.0852
681.5,37.2101
682.5,68.1864
683.5,165.386
684.5,162.689
685.5,157.022
686.5,76.237
687.5,159.027
688.5,100.141
689.5,14.3012
690.5,-0.0269165
691.5,-0.0269165
692.5,-0.0269165
693.5,-0.0269165
694.5,-0.0269165
695.5,-0.0269165
696.5,-0.0269165
697.5,-0.0269165
698.5,-0.0269165
699.5,-0.0269165
700.5,-0.0269165
701.5,-0.0269165
702.5,-0.0269165
703.5,0.155792
704.5,67.7606
705.5,54.2821
706.5,50.0483
707.5,42.5967
708.5,33.0588
709.5,51.1928
710.5,49.0949
711.5,41.8067
712.5,12.8323
713.5,22.391
714.5,-0.0269165
715.5,-0.0269165
716.5,-0.0269165
717.5,-0.0269165
718.5,-0.0269165
719.5,-0.0269165
720.5,-0.0269165
721.5,-0.0269165
722.5,-0.0269165
723.5,-0.0269165
724.5,-0.0269165
725.5,-0.0269165
726.5,-0.0269165
727.5,-0.0269165
728.5,14.4021
729.5,3.58155
730.5,102.255
731.5,59.7453
732.5,71.5586
733.5,97.7996
734.5,107.701
735.5,76.9452
736.5,112.678
737.5,34.8195
738.5,-0.0269165
739.5,-0.0269165
740.5,-0.0269165
741.5,-0.0269165
742.5,-0.0269165
743.5,-0.0269165
744.5,-0.0269165
745.5,-0.0269165
746.5,-0.0269165
747.5,-0.0269165
748.5,-0.0269165
749.5,-0.0269165
750.5,-0.0269165
751.5,-0.0269165
752.5,9.08219
753.5,-0.0269165
754.5,68.5356
755.5,87.4774
756.5,52.8242
757.5,19.6985
758.5,20.0272
759.5,13.9916
760.5,91.0089
761.5,4.00734
762.5,-0.0269165
763.5,-0.0269165
764.5,-0.0269165
765.5,-0.0269165
766.5,-0.0269165
767.5,-0.0269165
768.5,-0.0269165
769.5,-0.0269165
770.5,-0.0269165
771.5,-0.0269165
772.5,-0.0269165
773.5,-0.0269165
774.5,-0.0269165
775.5,2.54933
776.5,80.4276
777.5,150.36
778.5,198.258
779.5,227.795
780.5,239.955
781.5,235.783
782.5,212.17
783.5,171.316
784.5,113.875
785.5,25.7865
786.5,-0.0269165
787.5,-0.0269165
788.5,-0.0269165
789.5,-0.0269165
790.5,-0.0269165
791.5,-0.0269165
792.5,-0.0269165
793.5,-0.0269165
794.5,-0.0269165
795.5,-0.0269165
796.5,-0.0269165
797.5,-0.0269165
798.5,-0.0269165
799.5,-0.0269165
800.5,3.67216
801.5,120.186
802.5,195.44
803.5,228.408
804.5,180.319
805.5,136.525
806.5,218.318
807.5,177.221
808.5,118.299
809.5,38.0766
810.5,-0.0269165
811.5,-0.0269165
812.5,-0.0269165
813.5,-0.0269165
814.5,-0.0269165
815.5,-0.0269165
816.5,-0.0269165
817.5,-0.0269165
818.5,-0.0269165
819.5,-0.0269165
820.5,-0.0269165
821.5,-0.0269165
822.5,-0.0269165
823.5,4.07573
824.5,84.1385
825.5,155.243
826.5,203.59
827.5,234.147
828.5,244.53
829.5,232.7
830.5,218.713
831.5,178.014
832.5,119.67
833.5,39.7978
834.5,-0.0269165
835.5,-0.0269165
836.5,-0.0269165
837.5,-0.0269165
838.5,-0.0269165
839.5,-0.0269165
840.5,-0.0269165
841.5,-0.0269165
842.5,-0.0269165
843.5,-0.0269165
844.5,-0.0269165
845.5,-0.0269165
846.5,-0.0269165
847.5,-0.0269165
848.5,52.8632
849.5,108.437
850.5,138.223
851.5,180.488
852.5,216.415
853.5,236.693
854.5,212.943
855.5,171.972
856.5,114.59
857.5,37.6399
858.5,-0.0269165
859.5,-0.0269165
860.5,-0.0269165
861.5,-0.0269165
862.5,-0.0269165
863.5,-0.0269165
864.5,-0.0269165
865.5,-0.0269165
866.5,-0.0269165
867.5,-0.0269165
868.5,-0.0269165
869.5,-0.0269165
870.5,-0.0269165
871.5,2.98956
872.5,83.5961
873.5,143.341
874.5,124.863
875.5,191.028
876.5,216.52
877.5,236.81
878.5,225.249
879.5,183.337
880.5,124.382
881.5,42.3473
882.5,-0.0269165
883.5,-0.0269165
884.5,-0.0269165
885.5,-0.0269165
886.5,-0.0269165
887.5,-0.0269165
888.5,-0.0269165
889.5,-0.0269165
890.5,-0.0269165
891.5,-0.0269165
892.5,-0.0269165
893.5,-0.0269165
894.5,-0.0269165
895.5,4.93376
896.5,88.8748
897.5,158.486
898.5,205.32
899.5,234.883
900.5,244.53
901.5,239.901
902.5,217.39
903.5,178.519
904.5,122.303
905.5,43.1595
906.5,-0.0269165
907.5,-0.0269165
908.5,-0.0269165
909.5,-0.0269165
910.5,-0.0269165
911.5,-0.0269165
912.5,-0.0269165
913.5,-0.0269165
914.5,-0.0269165
915.5,-0.0269165
916.5,-0.0269165
917.5,-0.0269165
918.5,-0.0269165
919.5,-0.0269165
920.5,50.1234
921.5,158.874
922.5,207.25
923.5,236.936
924.5,244.53
925.5,243.693
926.5,220.752
927.5,181.527
928.5,123.895
929.5,43.7937
930.5,-0.0269165
931.5,-0.0269165
932.5,-0.0269165
933.5,-0.0269165
934.5,-0.0269165
935.5,-0.0269165
936.5,-0.0269165
937.5,-0.0269165
938.5,-0.0269165
939.5,-0.0269165
940.5,-0.0269165
941.5,-0.0269165
942.5,-0.0269165
943.5,-0.0269165
944.5,56.1923
945.5,93.586
946.5,165.295
947.5,190.391
948.5,193.464
949.5,188.876
950.5,186.274
951.5,151.81
952.5,79.8699
953.5,32.5637
954.5,-0.0269165
955.5,-0.0269165
956.5,-0.0269165
957.5,-0.0269165
958.5,-0.0269165
959.5,-0.0269165
960.5,-0.0269165
961.5,-0.0269165
962.5,-0.0269165
963.5,-0.0269165
964.5,-0.0269165
965.5,-0.0269165
966.5,-0.0269165
967.5,-0.0269165
968.5,2.65042
969.5,-0.0269165
970.5,7.14165
971.5,22.2119
972.5,10.8234
973.5,24.7116
974.5,18.7362
975.5,17.9346
976.5,15.6848
977.5,33.4059
978.5,-0.0269165
979.5,-0.0269165
980.5,-0.0269165
