Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)
849.5,250.334
850.5,250.334
851.5,250.334
852.5,250.334
853.5,250.334
854.5,250.334
855.5,250.334
856.5,250.334
857.5,250.334
858.5,250.334
859.5,250.334
860.5,250.334
861.5,250.334
862.5,250.334
863.5,250.334
864.5,250.334
865.5,250.334
866.5,250.334
867.5,250.334
868.5,250.334
869.5,250.334
870.5,250.334
871.5,244.71
872.5,250.334
873.5,249.918
874.5,229.493
875.5,170.362
876.5,139.283
877.5,122.2
878.5,98.3043
879.5,87.6123
880.5,73.3586
881.5,56.9156
882.5,83.7869
883.5,81.7848
884.5,101.851
885.5,123.201
886.5,112.816
887.5,102.489
888.5,89.2826
889.5,75.9443
890.5,71.8425
891.5,51.0658
892.5,48.0783
893.5,52.2608
894.5,51.6633
895.5,48.3771
896.5,42.7495
897.5,37.4441
898.5,32.8092
899.5,35.1708
900.5,28.2998
901.5,17.8235
902.5,11.7728
903.5,4.75423
904.5,5.97677
905.5,1.39401
906.5,4.48025
907.5,3.696
908.5,4.47404
909.5,6.22626
910.5,5.1755
911.5,0.536295
912.5,0.62887
913.5,0
914.5,0
915.5,0
916.5,0
917.5,4.12652
918.5,6.50769
919.5,9.06157
920.5,17.1518
921.5,17.3135
922.5,22.4006
923.5,30.2992
924.5,54.8147
925.5,60.5286
926.5,89.0181
927.5,91.6268
928.5,92.3027
929.5,157.757
930.5,134.786
931.5,207.397
932.5,238.908
933.5,247.538
934.5,248.43
935.5,191.132
936.5,216.017
937.5,171.766
938.5,159.099
939.5,133.58
940.5,140.147
941.5,160.396
942.5,159.163
943.5,151.504
944.5,142.203
945.5,100.7
946.5,79.1432
947.5,91.562
948.5,83.6275
949.5,102.289
950.5,105.161
951.5,112.427
952.5,168.491
953.5,174.73
954.5,212.586
955.5,161.735
956.5,246.989
957.5,242.76
958.5,178.176
959.5,122.032
960.5,101.877
961.5,72.1055
962.5,45.5614
963.5,21.9975
964.5,8.9335
965.5,8.15805
966.5,0.567651
967.5,0
968.5,0.401981
969.5,19.7661
970.5,250.334
971.5,250.334
972.5,250.334
973.5,250.334
974.5,250.334
975.5,250.334
976.5,250.334
977.5,250.334
978.5,250.334
979.5,250.334
980.5,250.334
981.5,250.334
982.5,248.393
983.5,250.334
984.5,250.334
985.5,250.334
986.5,250.334
987.5,250.334
988.5,250.334
989.5,250.334
990.5,250.334
991.5,250.334
992.5,250.334
993.5,250.334
994.5,250.334
995.5,250.334
996.5,243.804
997.5,244.803
998.5,250.334
999.5,250.334
1000.5,187.815
1001.5,238.892
1002.5,180.13
1003.5,200.489
1004.5,205.475
1005.5,129.577
1006.5,150.096
1007.5,105.079
1008.5,160.079
1009.5,143.441
1010.5,132.35
1011.5,119.594
1012.5,101.745
1013.5,83.8243
1014.5,92.1595
1015.5,83.8243
1016.5,88.4087
1017.5,78.0313
1018.5,58.8643
1019.5,72.222
1020.5,49.5752
1021.5,36.9154
1022.5,55.5677
1023.5,41.4039
1024.5,18.5903
1025.5,20.3877
1026.5,20.3123
1027.5,32.0531
1028.5,22.4137
1029.5,21.5739
1030.5,18.1388
1031.5,12.9065
1032.5,9.26571
1033.5,5.29856
1034.5,2.73273
1035.5,22.4379
1036.5,35.5325
1037.5,39.699
1038.5,55.8147
1039.5,64.1574
1040.5,83.9842
1041.5,66.4137
1042.5,64.2362
1043.5,84.2942
1044.5,84.595
1045.5,91.1781
1046.5,78.146
1047.5,69.5236
1048.5,81.335
1049.5,72.3682
1050.5,138.385
1051.5,136.525
1052.5,193.217
1053.5,240.833
1054.5,246.531
1055.5,241.307
1056.5,236.974
1057.5,201.302
1058.5,174.877
1059.5,166.475
1060.5,187.48
1061.5,250.334
1062.5,250.334
1063.5,250.334
1064.5,250.334
1065.5,248.901
1066.5,238.385
1067.5,181.359
1068.5,72.3212
1069.5,242.024
1070.5,246.79
1071.5,248.358
1072.5,250.334
1073.5,250.334
1074.5,250.334
1075.5,250.334
1076.5,250.334
1077.5,233.654
1078.5,243.683
1079.5,237.775
1080.5,182.463
1081.5,183.163
1082.5,113.03
1083.5,68.5096
1084.5,67.123
1085.5,59.8918
1086.5,68.2926
1087.5,59.1355
1088.5,50.4616
1089.5,45.0363
1090.5,59.7643
1091.5,59.3545
1092.5,66.9979
1093.5,128.117
1094.5,134.785
1095.5,138.978
1096.5,138.265
1097.5,99.8892
1098.5,150.265
1099.5,241.578
1100.5,245.045
1101.5,236.985
1102.5,237.326
1103.5,187.139
1104.5,131.391
1105.5,109.395
1106.5,115.235
1107.5,71.7448
1108.5,61.5646
1109.5,61.8577
1110.5,50.6427
1111.5,100.871
1112.5,106.185
1113.5,69.7236
1114.5,89.3666
1115.5,68.9522
1116.5,81.455
1117.5,87.146
1118.5,133.185
1119.5,132.898
1120.5,231.91
1121.5,232.925
1122.5,245.011
1123.5,250.334
1124.5,250.334
1125.5,250.334
1126.5,250.334
1127.5,250.334
1128.5,250.334
1129.5,250.334
1130.5,250.334
1131.5,250.334
1132.5,247.176
1133.5,223.36
1134.5,122.631
1135.5,98.2753
1136.5,98.6826
1137.5,50.3749
1138.5,26.261
1139.5,1.56801
1140.5,0
1141.5,7.00523
1142.5,19.9216
1143.5,238.076
1144.5,239.243
1145.5,241.085
1146.5,244.67
1147.5,250.334
1148.5,249.318
1149.5,219.209
1150.5,143.659
1151.5,97.8802
1152.5,57.1223
1153.5,37.8355
1154.5,27.8162
1155.5,21.1574
1156.5,11.7664
1157.5,6.33473
1158.5,10.7362
1159.5,20.8654
1160.5,37.5245
1161.5,70.0834
1162.5,95.2425
1163.5,93.2034
1164.5,124
1165.5,102.278
1166.5,112.96
1167.5,75.6068
1168.5,96.2259
1169.5,67.4149
1170.5,108.479
1171.5,112.498
1172.5,227.635
1173.5,226.403
1174.5,245.18
1175.5,196.679
1176.5,197.712
1177.5,212.57
1178.5,173.636
1179.5,159.588
1180.5,129.807
1181.5,98.4002
1182.5,110.287
1183.5,105.809
1184.5,105.654
1185.5,110.039
1186.5,133.318
1187.5,140.275
1188.5,147.624
1189.5,207.264
1190.5,168.678
1191.5,218.481
1192.5,238.815
1193.5,250.334
1194.5,250.334
1195.5,250.334
1196.5,250.334
1197.5,250.334
1198.5,250.334
1199.5,250.334
1200.5,250.334
1201.5,250.334
1202.5,250.334
1203.5,250.334
1204.5,250.334
1205.5,247.133
1206.5,239.907
1207.5,130.525
1208.5,59.4216
1209.5,127.155
1210.5,98.205
1211.5,44.9674
1212.5,16.3704
1213.5,11.7823
1214.5,59.1605
1215.5,250.334
1216.5,250.334
1217.5,250.334
1218.5,250.334
1219.5,250.334
1220.5,250.334
1221.5,250.334
1222.5,250.334
1223.5,250.334
1224.5,250.334
1225.5,250.334
1226.5,250.231
1227.5,242.071
1228.5,203.213
1229.5,119.754
1230.5,65.4583
1231.5,39.9518
1232.5,30.2235
1233.5,34.2074
1234.5,30.12
1235.5,20.833
1236.5,23.1558
1237.5,68.8913
1238.5,33.5829
1239.5,12.3566
1240.5,37.6136
1241.5,84.4811
1242.5,96.8537
1243.5,155.096
1244.5,201.601
1245.5,246.231
1246.5,244.131
1247.5,243.591
1248.5,233.806
1249.5,177.081
