,Day,Time,LMP,bypass_pretreatment_flow,power_from_grid,intake.op_mode,intake.startup,intake.shutdown,intake.energy_intensity,intake.power_consumption,intake.recovery,intake.feed_flowrate,intake.product_flowrate,intake.reject_flowrate,intake.feed_cost,intake.chemical_cost,pretreatment.op_mode,pretreatment.startup,pretreatment.shutdown,pretreatment.energy_intensity,pretreatment.power_consumption,pretreatment.recovery,pretreatment.feed_flowrate,pretreatment.product_flowrate,pretreatment.reject_flowrate,reverse_osmosis.op_mode,reverse_osmosis.startup,reverse_osmosis.shutdown,reverse_osmosis.power_consumption,reverse_osmosis.feed_flowrate,reverse_osmosis.product_flowrate,reverse_osmosis.reject_flowrate,reverse_osmosis.inlet_flowrate,reverse_osmosis.leftover_flow,reverse_osmosis.ro_skid[1].op_mode,reverse_osmosis.ro_skid[1].startup,reverse_osmosis.ro_skid[1].shutdown,reverse_osmosis.ro_skid[1].energy_intensity,reverse_osmosis.ro_skid[1].power_consumption,reverse_osmosis.ro_skid[1].recovery,reverse_osmosis.ro_skid[1].feed_flowrate,reverse_osmosis.ro_skid[1].product_flowrate,reverse_osmosis.ro_skid[1].reject_flowrate,reverse_osmosis.ro_skid[2].op_mode,reverse_osmosis.ro_skid[2].startup,reverse_osmosis.ro_skid[2].shutdown,reverse_osmosis.ro_skid[2].energy_intensity,reverse_osmosis.ro_skid[2].power_consumption,reverse_osmosis.ro_skid[2].recovery,reverse_osmosis.ro_skid[2].feed_flowrate,reverse_osmosis.ro_skid[2].product_flowrate,reverse_osmosis.ro_skid[2].reject_flowrate,reverse_osmosis.ro_skid[3].op_mode,reverse_osmosis.ro_skid[3].startup,reverse_osmosis.ro_skid[3].shutdown,reverse_osmosis.ro_skid[3].energy_intensity,reverse_osmosis.ro_skid[3].power_consumption,reverse_osmosis.ro_skid[3].recovery,reverse_osmosis.ro_skid[3].feed_flowrate,reverse_osmosis.ro_skid[3].product_flowrate,reverse_osmosis.ro_skid[3].reject_flowrate,posttreatment.op_mode,posttreatment.startup,posttreatment.shutdown,posttreatment.energy_intensity,posttreatment.power_consumption,posttreatment.feed_flowrate,posttreatment.product_flowrate,posttreatment.reject_flowrate,posttreatment.chemical_cost,brine_discharge.op_mode,brine_discharge.startup,brine_discharge.shutdown,brine_discharge.feed_flowrate,brine_discharge.power_consumption,brine_discharge.brine_cost,num_skids_online,net_power_consumption,water_revenue,demand_response_revenue,emissions_cost,energy_cost
731,1,732,0.12955,0.0,2184.2635220437205,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,1790.5558259347204,1063.5,526.7652,486.2448,1013.0100000000001,50.489999999999895,1.0,-0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08159999999984,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08160000000015,1.0,,,0.41,215.973732,526.7652,526.7652,0.0,0.0,0.0,,,536.7348,0.0,0.0,3.0,2184.2635220437205,0.0,-0.0,0.0,70.74283482019099
732,1,733,0.12955,0.0,2184.2635220437205,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,1790.5558259347204,1063.5,526.7652,486.24479999999994,1013.0100000000001,50.489999999999895,1.0,-0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816000000001,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08159999999984,1.0,,,0.41,215.973732,526.7652,526.7652,0.0,0.0,0.0,,,536.7347999999998,0.0,0.0,3.0,2184.2635220437205,0.0,-0.0,0.0,70.74283482019099
733,1,734,0.12955,0.0,2184.2635220437205,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,1790.5558259347204,1063.5,526.7652,486.2447999999997,1013.0100000000001,50.489999999999895,1.0,-0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08159999999972,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816,1.0,,,0.41,215.973732,526.7652,526.7652,0.0,0.0,0.0,,,536.7347999999996,0.0,0.0,3.0,2184.2635220437205,0.0,-0.0,0.0,70.74283482019099
734,1,735,0.12955,0.0,2184.2635220437205,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,1790.5558259347204,1063.5,526.7652,486.2448000000001,1013.0100000000001,50.489999999999895,1.0,-0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08159999999992,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08160000000015,1.0,,,0.41,215.973732,526.7652,526.7652,0.0,0.0,0.0,,,536.7348,0.0,0.0,3.0,2184.2635220437205,0.0,-0.0,0.0,70.74283482019099
735,1,736,0.12955,0.0,2184.2635220437205,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,1790.5558259347204,1063.5,526.7652,486.2447999999998,1013.0100000000001,50.489999999999895,1.0,-0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08159999999992,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08159999999984,1.0,,,0.41,215.973732,526.7652,526.7652,0.0,0.0,0.0,,,536.7347999999997,0.0,0.0,3.0,2184.2635220437205,0.0,-0.0,0.0,70.74283482019099
736,1,737,0.52939,0.0,1196.3735983489314,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,907.8838742400002,1063.5,270.1359999999991,405.204,675.3400000000001,388.1599999999999,1.0,-0.0,-0.0,3.3608400000000005,453.9419371200001,0.4,337.67,135.068,202.602,1.0,0.0,-0.0,3.3608400000000005,453.9419371200001,0.4,337.67,135.068,202.602,-0.0,0.0,1.0,3.3393440999999986,0.0,0.43000000000000005,0.0,0.0,0.0,1.0,,,0.41,110.75575999999963,270.1359999999991,270.1359999999991,0.0,0.0,0.0,,,793.3639999999999,-6.843947630841285e-11,0.0,2.0,1196.3735983489312,0.0,-0.0,0.0,158.3370548074852
737,1,738,0.52939,0.0,1196.3735983489496,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,907.88387424,1063.5,270.1359999999991,405.204,675.3400000000001,388.1599999999999,1.0,-0.0,-0.0,3.3608400000000005,453.9419371200001,0.4,337.67,135.068,202.602,1.0,0.0,-0.0,3.360839999999999,453.94193712000003,0.4,337.67,135.06800000000004,202.602,-0.0,0.0,-0.0,3.360839999999999,0.0,0.4,0.0,0.0,0.0,1.0,,,0.41,110.75575999999963,270.1359999999991,270.1359999999991,0.0,0.0,0.0,,,793.3639999999999,-5.002220859751105e-11,0.0,2.0,1196.3735983489496,0.0,-0.0,0.0,158.33705480748762
738,1,739,0.52939,0.0,1196.3735983490003,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,907.8838742400003,1063.5,270.136,405.204,675.3400000000001,388.1599999999999,1.0,-0.0,-0.0,3.3608400000000005,453.9419371200001,0.4,337.67,135.068,202.602,1.0,0.0,-0.0,3.3608400000000005,453.9419371200001,0.4,337.67,135.068,202.602,-0.0,0.0,-0.0,3.3393440999999986,0.0,0.43000000000000005,0.0,0.0,0.0,1.0,,,0.41,110.75576000000001,270.136,270.136,0.0,0.0,0.0,,,793.3639999999999,0.0,0.0,2.0,1196.3735983490003,0.0,-0.0,0.0,158.33705480749433
739,1,740,0.52939,0.0,1206.2966461467317,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,916.6024564237397,1063.5,273.0737210097367,402.26627899026334,675.3400000000001,388.1599999999999,1.0,-0.0,-0.0,3.352473476596652,462.6605193037395,0.4086999763370644,337.67,138.00572100973665,199.66427899026337,1.0,0.0,-0.0,3.3608400000000005,453.9419371200002,0.4,337.67,135.06800000000004,202.602,-0.0,0.0,-0.0,3.342472539099835,0.0,0.4230645581718657,0.0,0.0,0.0,1.0,,,0.41,111.96022561399204,273.0737210097367,273.0737210097367,0.0,0.0,0.0,,,790.4262789902632,0.0,0.0,2.0,1206.2966461467317,0.0,-0.0,0.0,159.65034537590458
740,1,741,0.52939,0.0,1196.3735983490003,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,907.8838742400003,1063.5,270.1360000000001,405.2040000000002,675.3400000000001,388.1599999999999,1.0,-0.0,-0.0,3.3608400000000005,453.9419371200002,0.4,337.67,135.06800000000004,202.60200000000017,1.0,0.0,-0.0,3.3608400000000005,453.9419371200001,0.4,337.67,135.068,202.602,-0.0,0.0,-0.0,3.3393440999999986,0.0,0.43000000000000005,0.0,0.0,0.0,1.0,,,0.41,110.75576000000002,270.1360000000001,270.1360000000001,0.0,0.0,0.0,,,793.364,5.684341886080802e-14,0.0,2.0,1196.3735983490003,0.0,-0.0,0.0,158.33705480749433
741,1,742,0.52939,0.0,1208.5163785675686,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,918.5559087354178,1063.5,273.7231846908825,401.6168153091164,675.3400000000001,388.1599999999999,1.0,-0.0,-0.0,3.3508589862775198,464.6139716154178,0.4106233443624959,337.67,138.655184690884,199.01481530911627,1.0,0.0,-0.0,3.360839999999999,453.9419371199999,0.4,337.67,135.068,202.60200000000017,-0.0,0.0,-0.0,3.3475025249999995,0.0,0.41500000000000004,0.0,0.0,0.0,1.0,,,0.41,112.22650572326181,273.7231846908825,273.7231846908825,0.0,0.0,0.0,,,789.7768153091163,-1.1095835361629725e-10,0.0,2.0,1208.5163785675688,0.0,-0.0,0.0,159.9441214124713
742,1,743,0.52939,0.0,1208.2138837095847,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,918.2815770186227,1063.5,273.6544941023464,401.6855058976539,675.3400000000001,388.1599999999999,1.0,-0.0,-0.0,3.3550435856945335,459.76052065737,0.40582708782654836,337.67,137.03563274639075,200.63436725360927,1.0,0.0,-0.0,3.356206103684264,458.5210563612526,0.40459283133223456,337.67,136.61886135595566,201.0511386440446,-0.0,0.0,-0.0,3.3393440999999986,0.0,0.43000000000000005,0.0,0.0,0.0,1.0,,,0.41,112.19834258196202,273.6544941023464,273.6544941023464,0.0,0.0,0.0,,,789.8455058976538,0.0,0.0,2.0,1208.2138837095847,0.0,-0.0,0.0,159.90408697425428
743,1,744,0.52939,0.0,1222.605251447615,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,930.9415115957156,1063.5,277.87750181194974,397.4624981880505,675.3400000000001,388.1599999999999,1.0,-0.0,-0.0,3.3508156734259935,464.6679752492663,0.41067638084518737,337.67,138.67309351999455,198.99690648000546,1.0,0.0,-0.0,3.3495601329559017,466.27353634644913,0.4122498542717897,337.67,139.20440829195522,198.46559170804505,-0.0,0.0,-0.0,3.3393440999999986,0.0,0.43000000000000005,0.0,0.0,0.0,1.0,,,0.41,113.92977574289938,277.87750181194974,277.87750181194974,0.0,0.0,0.0,,,785.6224981880505,0.0,0.0,2.0,1222.605251447615,0.0,-0.0,0.0,161.80874851596323
744,1,745,0.52939,0.0,1216.46733430573,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,925.5426386254294,1063.5,276.07495505195254,399.2650449480477,675.3400000000001,388.1599999999999,1.0,-0.0,-0.0,3.355499873061143,459.26910227898037,0.40533819042259367,337.67,136.87054675999735,200.79945324000266,1.0,0.0,-0.0,3.3495601329559013,466.27353634644896,0.41224985427178956,337.67,139.2044082919552,198.46559170804505,-0.0,0.0,-0.0,3.3393440999999986,0.0,0.43000000000000005,0.0,0.0,0.0,1.0,,,0.41,113.19073157130053,276.07495505195254,276.07495505195254,0.0,0.0,0.0,,,787.4250449480476,1.1368683772161603e-13,0.0,2.0,1216.4673343057302,0.0,-0.0,0.0,160.99641052702762
745,1,746,0.52939,0.0,1208.5163785676802,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,918.5559087354179,1063.5,273.72318469088395,401.6168153091163,675.3400000000001,388.1599999999999,1.0,-0.0,-0.0,3.3508589862775198,464.61397161541777,0.4106233443624958,337.67,138.65518469088397,199.0148153091163,1.0,0.0,-0.0,3.3608400000000005,453.9419371200001,0.4,337.67,135.068,202.602,-0.0,0.0,-0.0,3.3393440999999986,0.0,0.43000000000000005,0.0,0.0,0.0,1.0,,,0.41,112.22650572326242,273.72318469088395,273.72318469088395,0.0,0.0,0.0,,,789.7768153091163,-5.684341886080802e-14,0.0,2.0,1208.5163785676802,0.0,-0.0,0.0,159.94412141248608
746,1,747,0.52939,0.0,1203.3300543740127,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,913.9935469880506,1063.5,272.201325065761,403.13867493423936,675.3400000000001,388.1599999999999,1.0,-0.0,-0.0,3.3547761614285734,460.0516098680498,0.4061164008225802,337.67,137.1333250657608,200.53667493423922,1.0,0.0,-0.0,3.3608400000000005,453.9419371200009,0.4,337.67,135.06800000000024,202.60200000000017,-0.0,0.0,-0.0,3.3393440999999986,0.0,0.43000000000000005,0.0,0.0,0.0,1.0,,,0.41,111.60254327696201,272.201325065761,272.201325065761,0.0,0.0,0.0,,,791.2986749342392,0.0,0.0,2.0,1203.3300543740127,0.0,-0.0,0.0,159.25772437126466
747,1,748,0.52939,0.0,1228.7847898097752,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,936.3848543205671,1063.5,279.67310092754224,395.666899072457,675.3400000000001,388.1599999999999,1.0,-0.0,-0.0,3.3481405655925487,468.1924271602835,0.4141219251451763,337.67,139.8365504637717,197.83344953622858,1.0,0.0,-0.0,3.3481405655925482,468.19242716028344,0.4141219251451763,337.67,139.8365504637717,197.83344953622844,-0.0,0.0,-0.0,3.3393440999999986,0.0,0.43000000000000005,0.0,0.0,0.0,1.0,,,0.41,114.6659713802923,279.67310092754224,279.67310092754224,0.0,0.0,0.0,,,783.8268990724569,-8.412825991399586e-11,0.0,2.0,1228.7847898097752,0.0,-0.0,0.0,162.62659496934924
748,1,749,0.52939,0.0,1223.3855331069751,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,931.6432098366138,1063.5,278.0691686862474,397.27083131375275,675.3400000000001,388.1599999999999,1.0,-0.0,-0.0,3.355886554401676,458.85767711895454,0.40492841480021696,337.67,136.73217782558942,200.9378221744106,1.0,0.0,-0.0,3.345094089230833,472.78553271765924,0.41856543625627973,337.67,141.33699086065798,196.33300913934215,-0.0,0.0,-0.0,3.3393440999999986,0.0,0.43000000000000005,0.0,0.0,0.0,1.0,,,0.41,114.00835916136143,278.0691686862474,278.0691686862474,0.0,0.0,0.0,,,785.4308313137526,-5.684341886080802e-14,0.0,2.0,1223.3855331069751,0.0,-0.0,0.0,161.9120168428754
749,1,750,0.52939,0.0,1196.3735983489205,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,907.8838742400009,1063.5,270.1359999999988,405.20400000000035,675.3400000000001,388.1599999999999,1.0,-0.0,-0.0,3.360839999999999,453.9419371200007,0.4000000000000007,337.67,135.06800000000024,202.60200000000017,1.0,0.0,-0.0,3.3608400000000005,453.9419371200001,0.4,337.67,135.068,202.60200000000017,-0.0,0.0,-0.0,3.3393440999999986,0.0,0.43000000000000005,0.0,0.0,0.0,1.0,,,0.41,110.75575999999948,270.1359999999988,270.1359999999988,0.0,0.0,0.0,,,793.3640000000003,-7.980816008057445e-11,0.0,2.0,1196.3735983489207,0.0,-0.0,0.0,158.33705480748375
